https://item.jd.com/100002967883.html,"['京鲜生金枕头榴莲', '100002967883', '2.25kg', '泰国、越南', '金枕头', '鲜榴莲', '1501-2000g', '控温', '进口']"
J***y,star5,回购好几次了 这次收到4个小榴莲，开了三个，都很不错，甚至有6房肉的。很甜很糯，核也很小，非常好吃。下次想吃了还来京东。
j***e,star5,第一次在京东买榴莲，昨天下午下单的榴莲今天早上就到了，真的太给力了，可惜还不熟，按照里面的说明放几天，希望好吃看起来真的很新鲜
j***9,star5,预售的商品，618买的，那会店里还要29.9一斤，这个折回来才不到21一斤，非常划算，发了两个大的，多了快一斤了，肉多，皮薄，成熟度也刚刚好，跟捡到宝一样，果形也贼好
盆***奴,star5,非常好吃！品质非常好！收到一大一小两个榴莲，放了几天之后就熟透了，果香味儿十足，非常甜！都开了30%的合格果肉，果核还很小，感谢京东选品，榴莲不再盲盒～
真***的,star5,我是不到③⑨入手的。方法在评价图①。老婆想吃榴莲，就在京东下单了一只，没想到第二天就到了，放了几天以后飘出了榴莲香味，开出来的肉大家可以看一下，出肉率非常高哈哈，口感很不错很饱满，味道还可以，有一个特别好，果香很足，五包，特别满意，果肉饱满，真的好，很甜，看得见的漂亮新鲜，另外一个也可以，只有4包，看运气吧！
v***q,star5,在京东买了好几次榴莲了，比在水果店买的品质好些，软糯！香甜！这次买的一大一小，剥出来的果肉都挺多，口感非常棒，味道浓郁，口感甜糯，干包黄肉很饱满，核小，还会回购。
j***b,star5,品质特别好，非常喜欢吃超级爱吃哈哈特别喜欢孩子也喜欢，特别不错非常棒。相信京东品质保证质量不错下次继续购买不错，一如既往的优秀，
j***b,star5,非常好，特别香，肯定是泰国榴莲，非常开心，特别好吃，味道非常浓吃着非常香，孩子很喜欢所以相信京东品质，价格优惠有保证，非常不错
啰***噜,star5,总体来说还是可以的，然后有预防死包也赔付了，这个售后的服务也是不错的的。总之以后有需要还会再来的吧，嗯，物流也很快，挺好的，特别好，非常好，非常非常好，就这样吧。
b***6,star5,开了一个大的，肉非常饱满，肉质鲜嫩软糯香甜。榴莲味道飘香全屋。老妈一回来就说谁吃榴莲，不等她。很甜，性价比高。快递送货也很快。
