https://item.jd.com/6223237.html,"['京鲜生山竹', '6223237', '1.6kg', '泰国', '油竹', '冷藏', '5A', '泰国']"
用户名,评分,评论
天***奋,star5,京东生鲜的价格真的很实惠，同类型果比水果店便宜很多。果子个头很大，果肉也很新鲜，京东冷链配送，速度快，包装完好，泡沫箱里面有冰袋保鲜。推荐购买
j***e,star5,京东自营店的品质还是值得信赖的，山竹果符合什么5A级，味道酸酸甜甜，很好吃。只是自己一次买了15斤，只能放冰箱，快点吃。
w***3,star5,东西已经收到！手感不错！用料扎实！质量很好！平常用基本没有问题！好，样子简单！着宝贝收到了，颜色很好看，质感也很④是我想要的！！下次还会再来！宝贝收到了，颜色很好看，质感也很好，样子简单！④是我想要的！！下次还会再来！宝贝收到了，很惊喜汁，设计合理，时尚大方，继续关注，以后会回购的
世***华,star5,总体很满意，除了个别的可能水分丢失了，就很难打开。吃的时候还是需要技巧的，经常买就掌握了。口感不错，这个山竹时间不能放，尽快食用。东西比我想象中的还要完美，十分给力，值得入手
u***p,star5,第一次在京东商城上买山竹，抱着试试的态度买了一单，还不错没有失望，几乎没有坏果出现，送货很快，孩子爱吃，价格也比较合适。
岁***0,star5,非常完美的产品，价格非常实惠，比在外面购买划算很多，不愧是大品牌，口感很爽口清甜，孩子们都很喜欢吃，性价比超高的产品，值得拥有
u***y,star5,山竹好吃的好吃，也有坏的，但售后很快就给处理了，京东真棒??！每年都会买的水果之一，京东自营的新鲜又便宜，好评，哈哈
_***_,star5,很不错，赶到活动买的，凑单一次买了两件，比日常划算很多。果子很大，新鲜度足够，拿来送礼自己吃都可以，我是自己留了一部分，送给长辈一部分。
j***y,star5,618活动价很划算，足斤足两，新鲜度很高，坏果不多，吃了近三分之一，两个坏果，上传了照片，售后也很快赔付了，过程简单时效快，真的很不错。
S***6,star5,质量很过关，品质有保障，相当不错的选择，好多朋友看我用都想买，我都推荐了。山竹太好吃了，每年都来京东订购一波酸甜可口的。
布***公,star5,果个大，好吃。吃榴莲后必备之一。惊讶的是，这次算万算，没坏果。超级喜欢生竹果的味道，总感觉吃不够的样子，反正，一箱一拆一顿。
S***6,star5,刚好做活动，价格便宜了很多，性价比超高，真的特别划算，山竹特别好吃，6A果然都很大，没有小的，5A还有一些小的，还是推荐买6A的。
S***6,star5,东西不错，还有优惠，可以放心省钱购买，不要犹豫了质量挺好，物流也很快，赞！东西比我想象中的还要完美，十分给力，值得入手。
夏***雨,star5,每年都在京东订购山竹，非常好吃，个头符合5A标准，果肉也非常好吃，酸甜可口，打算继续买几箱寄给朋友，亲测可以放心下单啦哈哈
